topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
sprintlink,200,EMERGENCY,50,8,1.081321992513675,0.8511664845361205,0.8511664845361205,0.7871535864700876,0.7871535864700876,0.0113431303127775,96.1,Optimal,True
sprintlink,201,KEEP_PREVIOUS_ROUTING,0,8,1.0744553632350595,0.8518953011640925,0.8518953011640925,0.7928624401847046,0.7928624401847046,0.0,10.6,Optimal,True
sprintlink,202,EMERGENCY,50,8,1.077622492501872,0.8469382142997866,0.8469382142997864,0.7859321981424913,0.7859321981424912,0.0027359941386563,239.1,Optimal,True
sprintlink,203,EMERGENCY,50,8,1.0859395875462192,0.8512529223126715,0.8512529223126714,0.7838860762375889,0.7838860762375888,0.0008089326338706,94.4,Optimal,True
sprintlink,204,EMERGENCY,50,8,1.0708453801934867,0.8477464857293305,0.8477464857293304,0.7916609637669209,0.7916609637669207,0.0005979474965265,92.3,Optimal,True
sprintlink,205,KEEP_PREVIOUS_ROUTING,0,8,1.071938135105312,0.8496946661217165,0.8496946661217164,0.7926713662801432,0.7926713662801431,0.0,10.6,Optimal,True
sprintlink,206,EMERGENCY,50,8,1.0712498842179348,0.8446408379689695,0.8446408379689694,0.7884629444656593,0.7884629444656592,0.0017333493839774,94.6,Optimal,True
sprintlink,207,EMERGENCY,50,8,1.0701316681157966,0.8453019106222814,0.8453019106222813,0.7899045844616694,0.7899045844616693,0.0021073191281706,91.9,Optimal,True
sprintlink,208,EMERGENCY,50,8,1.067528878060555,0.847834186403279,0.8478341864032789,0.794202577398741,0.7942025773987409,0.0013825473451795,94.1,Optimal,True
sprintlink,209,EMERGENCY,50,8,1.04101072391224,0.836139876166588,0.836139876166588,0.8032000602494052,0.8032000602494052,0.0027490519933106,94.8,Optimal,True
sprintlink,210,KEEP_PREVIOUS_ROUTING,0,8,1.080412175881471,0.8621514679353609,0.8621514679353606,0.7979838502208301,0.7979838502208297,0.0,10.7,Optimal,True
sprintlink,211,EMERGENCY,50,8,1.0907483835521343,0.8630683223642939,0.8630683223642938,0.7912625270675379,0.7912625270675377,0.0024226782970135,92.4,Optimal,True
sprintlink,212,KEEP_PREVIOUS_ROUTING,0,8,1.0833297449623025,0.8628916826931449,0.8628916826931446,0.7965180377495973,0.7965180377495971,0.0,10.6,Optimal,True
sprintlink,213,EMERGENCY,50,8,1.0738642689295073,0.8614390070039732,0.8614390070039731,0.8021861160002164,0.8021861160002163,0.0020460090914817,95.6,Optimal,True
sprintlink,214,EMERGENCY,50,8,1.095002368035359,0.8766350872293629,0.8766350872293628,0.80057825701529,0.80057825701529,0.0020830138218177,92.0,Optimal,True
sprintlink,215,EMERGENCY,50,8,1.101989390895259,0.8771974501695534,0.8771974501695532,0.7960126090296713,0.7960126090296712,0.0010062233207818,92.1,Optimal,True
sprintlink,216,EMERGENCY,50,8,1.080035914935661,0.8669013571784154,0.8669013571784152,0.8026597497269873,0.8026597497269871,0.0010894391428262,97.7,Optimal,True
sprintlink,217,EMERGENCY,50,8,1.105696241833615,0.8786188748464863,0.878618874846486,0.794629520843303,0.7946295208433027,0.0033745892010745,91.2,Optimal,True
sprintlink,218,EMERGENCY,50,8,1.1082837824660416,0.8801370666325201,0.88013706663252,0.7941441357863485,0.7941441357863485,0.0014910984582532,91.8,Optimal,True
sprintlink,219,EMERGENCY,50,8,1.0996990594350842,0.868989567641374,0.8689895676413739,0.7902067026298761,0.790206702629876,0.000137949629299,95.1,Optimal,True
sprintlink,220,EMERGENCY,50,8,1.1130548787878216,0.8921991252191585,0.8921991252191583,0.8015769412832661,0.801576941283266,0.0012413842255716,91.7,Optimal,True
sprintlink,221,EMERGENCY,50,8,1.096871359476974,0.9029089549369257,0.9029089549369256,0.8231675912911646,0.8231675912911645,0.0029803641771293,92.0,Optimal,True
sprintlink,222,KEEP_PREVIOUS_ROUTING,0,8,1.0839013813412228,0.8822464060527435,0.8822464060527435,0.8139544992193378,0.8139544992193378,0.0,10.9,Optimal,True
sprintlink,223,KEEP_PREVIOUS_ROUTING,0,8,1.0951360070083334,0.8868679096307147,0.8868679096307146,0.8098244455074027,0.8098244455074026,0.0,11.1,Optimal,True
sprintlink,224,KEEP_PREVIOUS_ROUTING,0,8,1.10135237781935,0.9001416518489607,0.9001416518489606,0.8173057687778534,0.8173057687778533,0.0,10.6,Optimal,True
sprintlink,225,KEEP_PREVIOUS_ROUTING,0,8,1.0735841228209109,0.8707041634784447,0.8707041634784446,0.8110255591249002,0.8110255591249,0.0,10.5,Optimal,True
sprintlink,226,KEEP_PREVIOUS_ROUTING,0,8,1.080173956705683,0.8777018102908002,0.8777018102908002,0.8125559821564456,0.8125559821564456,0.0,10.5,Optimal,True
sprintlink,227,KEEP_PREVIOUS_ROUTING,0,8,1.069412848422561,0.8787676059453504,0.8787676059453502,0.8217290518265027,0.8217290518265025,0.0,10.5,Optimal,True
sprintlink,228,KEEP_PREVIOUS_ROUTING,0,8,1.0649873496345452,0.8692956322146645,0.8692956322146641,0.8162497258892013,0.8162497258892009,0.0,10.5,Optimal,True
