topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
geant,672,EMERGENCY,50,8,0.1368681418524592,0.11345828055975339,0.11345828055975339,0.8289604799490803,0.8289604799490803,0.0999999999999999,39.7,Optimal,True
geant,673,EMERGENCY,50,8,0.1113820383451568,0.11087359061461563,0.11087359061461562,0.9954351012237219,0.9954351012237218,0.0553065168729123,42.6,Optimal,True
geant,674,EMERGENCY,50,8,0.1265182330046263,0.12608467489791414,0.12608467489791414,0.9965731571140714,0.9965731571140714,0.0198603374038812,40.1,Optimal,True
geant,675,EMERGENCY,50,8,0.1231408056752135,0.12280645548962059,0.12280645548962056,0.9972848140487665,0.9972848140487662,0.0049255863726537,39.5,Optimal,True
geant,676,EMERGENCY,50,8,0.121705056268194,0.12140312500869238,0.12140312500869234,0.9975191559926954,0.997519155992695,0.0038127561428223,39.1,Optimal,True
geant,677,EMERGENCY,50,8,0.1201006258351573,0.11957189904451379,0.11957189904451371,0.9955976350084204,0.9955976350084197,0.0036792913604895,38.9,Optimal,True
geant,678,EMERGENCY,50,8,0.1192707991655192,0.11864275708884622,0.11864275708884622,0.9947343181980243,0.9947343181980243,0.0029142743443096,39.5,Optimal,True
geant,679,EMERGENCY,50,8,0.1190649612403785,0.11866403382606809,0.11866403382606805,0.9966327002492279,0.9966327002492276,0.0012215259275923,39.4,Optimal,True
geant,680,EMERGENCY,50,8,0.1187072733058128,0.11818443956081756,0.11818443956081756,0.9955956047979612,0.9955956047979612,0.0015207807198988,41.2,Optimal,True
geant,681,EMERGENCY,50,8,0.1216769218185877,0.12125458258437029,0.12125458258436993,0.9965290111887685,0.9965290111887655,0.0007461370718165,40.8,Optimal,True
geant,682,EMERGENCY,50,8,0.1213637997014758,0.12094851246137793,0.12094851246137793,0.9965781621775244,0.9965781621775244,0.0015474316427258,39.3,Optimal,True
