topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
cernet,200,OPTIMIZE_K10,10,8,0.8354241931936988,0.835424193193699,0.8354241931936988,1.0,1.0,0.0077198595515225,57.1,Optimal,True
cernet,201,EMERGENCY,50,8,0.8601603179019297,0.8601603179019301,0.86016031790193,1.0,1.0,0.0001655254514994,81.1,Optimal,True
cernet,202,EMERGENCY,50,8,0.854415488904371,0.8544154889043712,0.8544154889043712,1.0,1.0,1.0668548922235188e-19,76.1,Optimal,True
cernet,203,EMERGENCY,50,8,0.8402676596222514,0.840267659622251,0.840267659622251,0.9999999999999996,0.9999999999999996,1.7520834896219684e-19,74.9,Optimal,True
cernet,204,OPTIMIZE_K10,10,8,0.8671098966188185,0.8671098966188184,0.8671098966188184,0.9999999999999999,0.9999999999999999,3.3012688310130414e-19,56.5,Optimal,True
cernet,205,EMERGENCY,50,8,0.8388017935166919,0.8388017935166918,0.8388017935166917,0.9999999999999999,0.9999999999999998,0.0005755750559741,77.2,Optimal,True
cernet,206,EMERGENCY,50,8,0.8332408193539113,0.8332408193539109,0.8332408193539109,0.9999999999999996,0.9999999999999996,3.8683071842131527e-19,76.9,Optimal,True
cernet,207,EMERGENCY,50,8,0.8367314428034417,0.8367314428034417,0.8367314428034417,1.0,1.0,2.653416629263438e-19,77.2,Optimal,True
cernet,208,OPTIMIZE_K10,10,8,0.8541036790561697,0.85410367905617,0.85410367905617,1.0,1.0,0.0011975786429617,58.1,Optimal,True
cernet,209,OPTIMIZE_K10,10,8,0.8610677879718539,0.8610677879718542,0.8610677879718542,1.0,1.0,0.0,59.6,Optimal,True
cernet,210,OPTIMIZE_K10,10,8,0.8649471824405266,0.8649471824405267,0.8649471824405266,1.0,1.0,1.1447581415331876e-19,57.7,Optimal,True
cernet,211,OPTIMIZE_K10,10,8,0.8741004850684078,0.8741004850684077,0.8741004850684077,0.9999999999999999,0.9999999999999999,1.8094906041856165e-19,57.1,Optimal,True
cernet,212,OPTIMIZE_K10,10,8,0.8661836138024765,0.8661836138024768,0.8661836138024768,1.0,1.0,6.999457423345818e-20,56.7,Optimal,True
cernet,213,OPTIMIZE_K10,10,8,0.8666669373804817,0.8666669373804816,0.8666669373804816,0.9999999999999999,0.9999999999999999,1.3353122914894866e-20,58.1,Optimal,True
cernet,214,OPTIMIZE_K10,10,8,0.897539041062388,0.8975390410623882,0.8975390410623882,1.0,1.0,0.0,58.3,Optimal,True
