topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
tiscali,200,EMERGENCY,50,8,0.945213208768668,0.8463622423638533,0.846362242363853,0.8954193979857855,0.8954193979857853,0.0051485447540644,107.8,Optimal,True
tiscali,201,EMERGENCY,50,8,0.9503835655974532,0.8488004065000855,0.8488004065000851,0.8931135146118525,0.8931135146118522,0.0017597528691823,266.0,Optimal,True
tiscali,202,EMERGENCY,50,8,0.952780106835912,0.854837351136061,0.8548373511360607,0.8972031899100946,0.8972031899100944,0.0007642733216347,108.8,Optimal,True
tiscali,203,EMERGENCY,50,8,0.93910873535541,0.8384724709508331,0.8384724709508328,0.8928385386954253,0.892838538695425,0.0032848511422069,110.6,Optimal,True
tiscali,204,EMERGENCY,50,8,0.9394028040647616,0.838915639638961,0.8389156396389607,0.8930308021319541,0.8930308021319537,0.0042883942680595,106.9,Optimal,True
tiscali,205,EMERGENCY,50,8,0.930389079195832,0.8344528953562151,0.8344528953562148,0.8968859523560424,0.8968859523560421,0.0037108570066472,110.1,Optimal,True
tiscali,206,EMERGENCY,50,8,0.9654000894641944,0.825010048276772,0.8250100482767716,0.8545783839057441,0.8545783839057437,0.0015379750196811,106.1,Optimal,True
tiscali,207,EMERGENCY,50,8,0.9186526938674362,0.8177448471608909,0.8177448471608907,0.8901566964532229,0.8901566964532227,0.0015321267843795,116.7,Optimal,True
tiscali,208,EMERGENCY,50,8,0.939762808709471,0.8182185214330049,0.8182185214330047,0.8706649314592724,0.8706649314592722,0.0025676224184583,109.4,Optimal,True
tiscali,209,EMERGENCY,50,8,0.944316266488787,0.8279169385313397,0.8279169385313395,0.876736923753045,0.8767369237530448,0.0014950424995756,105.6,Optimal,True
tiscali,210,EMERGENCY,50,8,0.9444452623587004,0.8279253414337597,0.8279253414337592,0.8766260729246091,0.8766260729246086,0.0010461264302329,112.3,Optimal,True
tiscali,211,EMERGENCY,50,8,0.9275988003296268,0.8254445627820752,0.8254445627820743,0.8898723914786753,0.8898723914786744,0.0031152893969061,108.1,Optimal,True
tiscali,212,EMERGENCY,50,8,0.9370467500741426,0.8301542543109377,0.8301542543109374,0.8859261869754661,0.8859261869754658,0.001958844343184,107.3,Optimal,True
tiscali,213,EMERGENCY,50,8,0.9285939589638826,0.8109565255700223,0.8109565255700218,0.8733166070506002,0.8733166070505998,0.0008651695262586,107.1,Optimal,True
tiscali,214,EMERGENCY,50,8,0.9334177919466852,0.8091307228583925,0.8091307228583922,0.8668473322871998,0.8668473322871995,0.0011738432122833,108.2,Optimal,True
tiscali,215,EMERGENCY,50,8,0.9327976948009934,0.8205756701252426,0.8205756701252424,0.8796930724623063,0.8796930724623061,0.0016834683484626,113.1,Optimal,True
tiscali,216,KEEP_PREVIOUS_ROUTING,0,8,0.9398672853442482,0.8075183236003561,0.8075183236003558,0.8591833508755269,0.8591833508755264,0.0,13.3,Optimal,True
tiscali,217,EMERGENCY,50,8,0.9273940748671992,0.7998454485813369,0.7998454485813365,0.8624655583397738,0.8624655583397735,0.0004028405451579,109.2,Optimal,True
tiscali,218,EMERGENCY,50,8,0.9250025253878236,0.792081738551232,0.7920817385512314,0.8563022443848332,0.8563022443848326,0.0013957613193981,112.2,Optimal,True
tiscali,219,EMERGENCY,50,8,0.9354764270041368,0.7982199988395202,0.7982199988395198,0.8532764437430238,0.8532764437430232,0.0003842747408296,110.2,Optimal,True
tiscali,220,EMERGENCY,50,8,0.9180819318344572,0.7943475614503417,0.7943475614503415,0.8652251328627318,0.8652251328627315,0.000383155241561,110.6,Optimal,True
