topology,tm_index,action,selected_K,k_paths,our_method_MLU,path_LP_opt_MLU,strict_full_mcf_MLU,path_LP_PR,strict_full_mcf_PR,DB,decision_ms,mcf_status,condition_compliant
ebone,200,OPTIMIZE_K10,10,8,0.8750254589715307,0.8534006049585419,0.8534006049585418,0.9752866001882896,0.9752866001882895,0.0082223386861625,29.3,Optimal,True
ebone,201,OPTIMIZE_K10,10,8,0.8717046669269282,0.8530102998289272,0.853010299828927,0.978554242271175,0.9785542422711747,0.0036763879843264,28.1,Optimal,True
ebone,202,EMERGENCY,50,8,0.8435890952125304,0.8435890952125304,0.8435890952125304,1.0,1.0,0.0082556783891847,48.7,Optimal,True
ebone,203,OPTIMIZE_K10,10,8,0.8634004292018086,0.8566017838647454,0.8566017838647454,0.9921257331973434,0.9921257331973434,0.0090680265454987,27.5,Optimal,True
ebone,204,OPTIMIZE_K10,10,8,0.8859785418274524,0.861642978899192,0.8616429788991918,0.9725325594476983,0.9725325594476982,0.0031052650746181,27.6,Optimal,True
ebone,205,EMERGENCY,50,8,0.8362096148805067,0.8280702649681415,0.8280702649681415,0.9902663760766153,0.9902663760766153,0.0049250531442118,46.0,Optimal,True
ebone,206,EMERGENCY,50,8,0.8541551063464012,0.8382986913230762,0.8382986913230763,0.9814361409239243,0.9814361409239245,0.0037335318173898,47.1,Optimal,True
ebone,207,EMERGENCY,50,8,0.8425139539870452,0.8389941763521477,0.8389941763521476,0.9958222915855093,0.9958222915855092,0.0057497884573295,48.6,Optimal,True
ebone,208,EMERGENCY,50,8,0.844880771876432,0.8136141896709128,0.8136141896709128,0.9629929059267406,0.9629929059267406,0.005580916541784,50.0,Optimal,True
ebone,209,EMERGENCY,50,8,0.8683710926682527,0.8332267202718421,0.8332267202718421,0.9595283943775441,0.9595283943775441,0.0068781695047151,49.1,Optimal,True
ebone,210,EMERGENCY,50,8,0.8429294499864303,0.833822644138394,0.833822644138394,0.9891962419296385,0.9891962419296385,0.0130968788925478,47.5,Optimal,True
ebone,211,EMERGENCY,50,8,0.8718325988051643,0.845125877396275,0.8451258773962749,0.9693671452002477,0.9693671452002476,0.0100528307280926,47.5,Optimal,True
ebone,212,EMERGENCY,50,8,0.8569067463470635,0.8468909700177534,0.8468909700177533,0.9883117079285386,0.9883117079285385,0.0083863877339895,46.8,Optimal,True
ebone,213,EMERGENCY,50,8,0.8560485180173584,0.8408234812463737,0.8408234812463737,0.9822147501566308,0.9822147501566308,0.0105385905017345,48.7,Optimal,True
ebone,214,EMERGENCY,50,8,0.8641910577086913,0.8466334496571191,0.8466334496571191,0.9796831870742515,0.9796831870742515,0.0046241738973548,50.3,Optimal,True
ebone,215,OPTIMIZE_K10,10,8,0.8618641612535249,0.8568758054629876,0.8568758054629877,0.9942121322421829,0.9942121322421831,0.0130969825023578,28.0,Optimal,True
ebone,216,OPTIMIZE_K10,10,8,0.8679353886506571,0.8580991634897813,0.8580991634897811,0.988667099775517,0.9886670997755167,0.005446075603915,27.9,Optimal,True
ebone,217,EMERGENCY,50,8,0.8531653316130888,0.8514101832331865,0.8514101832331865,0.9979427804730604,0.9979427804730604,0.0084917663315803,46.6,Optimal,True
ebone,218,EMERGENCY,50,8,0.8525266773138165,0.8525266773138163,0.852526677313816,0.9999999999999998,0.9999999999999994,0.0002608589108922,46.1,Optimal,True
ebone,219,OPTIMIZE_K10,10,8,0.8547590474115889,0.8537624077852413,0.8537624077852413,0.9988340110240825,0.9988340110240825,0.0055660366590703,27.5,Optimal,True
ebone,220,OPTIMIZE_K10,10,8,0.8739277059153959,0.8369531064840444,0.8369531064840444,0.9576914667184943,0.9576914667184943,0.0025688686818952,27.5,Optimal,True
ebone,221,OPTIMIZE_K10,10,8,0.8452451433816714,0.8424662537564037,0.8424662537564036,0.996712327013025,0.9967123270130248,0.0027342056148458,27.5,Optimal,True
ebone,222,OPTIMIZE_K10,10,8,0.8376127720182003,0.8339310935652947,0.8339310935652947,0.9956045578865342,0.9956045578865342,0.0013105857655557,28.2,Optimal,True
ebone,223,OPTIMIZE_K10,10,8,0.8496496453095213,0.8496496453095213,0.8496496453095213,1.0,1.0,9.150052595168692e-05,28.7,Optimal,True
ebone,224,OPTIMIZE_K10,10,8,0.8432095673533863,0.8432095673533866,0.8432095673533863,1.0,1.0,0.0017062301155673,28.1,Optimal,True
ebone,225,OPTIMIZE_K10,10,8,0.8308643297408962,0.8308643297408961,0.8308643297408961,0.9999999999999999,0.9999999999999999,0.0006707518238055,28.0,Optimal,True
ebone,226,OPTIMIZE_K10,10,8,0.8368461995233094,0.8368461995233095,0.8368461995233094,1.0,1.0,0.0008085351482397,28.0,Optimal,True
