topology,tm_index,action,selected_K,PR,PR_reference_type,DB,MLU,decision_ms
vtlwavenet2011,0,K50,50,0.9310423567151882,path_LP,0.001590279322617349,0.8920952681346008,305.6
vtlwavenet2011,1,K50,50,0.9311778193268667,path_LP,0.0007793475810414108,0.9120458554951875,311.8
vtlwavenet2011,2,K50,50,0.9317639193046247,path_LP,0.0009342656309040577,0.9338681507916375,303.6
vtlwavenet2011,3,K50,50,0.9339846298850962,path_LP,0.0008804550225007967,0.9485908380562401,304.5
vtlwavenet2011,4,K50,50,0.9329082129052372,path_LP,0.0010002534029524403,0.9605859997519787,324.7
vtlwavenet2011,5,K50,50,0.9335129314994438,path_LP,0.0007938462019683405,0.9755322626589161,302.8
vtlwavenet2011,6,K50,50,0.9334742499432507,path_LP,0.0006032839810155693,0.9849619188544875,301.4
vtlwavenet2011,7,K50,50,0.9320604403720912,path_LP,0.0008396657086418164,1.0002048824649368,304.0
vtlwavenet2011,8,K50,50,0.934445093528432,path_LP,0.0016656598573993422,1.0102233774953677,310.5
vtlwavenet2011,9,K50,50,0.9351559236997172,path_LP,0.0006918239614873694,1.0154678339829055,302.6
vtlwavenet2011,10,K50,50,0.9361420575673927,path_LP,0.00016003378852341314,1.0215545483461175,300.9
vtlwavenet2011,11,K50,50,0.9361556858561308,path_LP,0.0003324024652115932,1.0236794741393138,302.6
vtlwavenet2011,12,K50,50,0.9358431863596016,path_LP,0.0008366346435281932,1.032563203187468,357.2
vtlwavenet2011,13,K50,50,0.9370312865284108,path_LP,0.0002813628756632512,1.0347008380015892,301.1
vtlwavenet2011,14,K50,50,0.9374684366912913,path_LP,0.00030453284266367467,1.0341486227342342,297.5
vtlwavenet2011,15,K50,50,0.9386273345727983,path_LP,5.2073112871762766e-05,1.034234559496175,299.5
vtlwavenet2011,16,K50,50,0.9388023804236261,path_LP,0.0005957877624017544,1.047303923454534,480.8
vtlwavenet2011,17,K50,50,0.9390764085513139,path_LP,0.0007400674918219334,1.0586346348324909,415.6
vtlwavenet2011,18,K50,50,0.9377379554558474,path_LP,0.0008143708265719638,1.063720637002673,411.9
vtlwavenet2011,19,K50,50,0.9393297067515352,path_LP,0.0009583927927299871,1.0710275406408674,419.0
vtlwavenet2011,20,K50,50,0.938177909337057,path_LP,0.0012011663015249888,1.082696861819573,415.6
vtlwavenet2011,21,K50,50,0.9383254939925413,path_LP,0.00044290397905505374,1.0814430125952954,417.2
vtlwavenet2011,22,K50,50,0.9376765814192025,path_LP,0.0010374196255702073,1.088590237492254,417.5
vtlwavenet2011,23,K50,50,0.940712809930039,path_LP,0.0013894293594608836,1.08977316455026,414.0
vtlwavenet2011,24,K50,50,0.937513375765452,path_LP,0.0009060252735819291,1.098704400743773,484.3
vtlwavenet2011,25,K50,50,0.939587238032507,path_LP,0.000922311664191256,1.0960962311860079,410.7
vtlwavenet2011,26,K50,50,0.9398369962774079,path_LP,0.00035878448025467117,1.09695734786383,408.2
vtlwavenet2011,27,K50,50,0.9398963418536882,path_LP,0.0004006457188189299,1.097487031184946,415.6
vtlwavenet2011,28,K50,50,0.9407747067769233,path_LP,0.0007244805256780587,1.0928822673215837,412.7
vtlwavenet2011,29,K50,50,0.9408119520945709,path_LP,0.000533308441254242,1.0931737905890122,413.7
vtlwavenet2011,30,K50,50,0.9400788275938764,path_LP,0.0009407390089286073,1.0848539167914346,411.0
vtlwavenet2011,31,K50,50,0.9390926027165116,path_LP,0.000932992313111915,1.0880978347814605,1136.3
vtlwavenet2011,32,K50,50,0.9401058883702578,path_LP,0.0008445364762876057,1.0787970091266739,297.3
vtlwavenet2011,33,K50,50,0.9394292706323397,path_LP,0.000894231540923204,1.0736810274628783,313.7
vtlwavenet2011,34,K50,50,0.9364986855817268,path_LP,0.0007109898952705458,1.0690915309323168,301.0
vtlwavenet2011,35,K50,50,0.9404736980759354,path_LP,0.0009434258168495841,1.0565098567715165,297.6
vtlwavenet2011,36,K50,50,0.9391902928791388,path_LP,0.0008471364967627723,1.0454015420394374,328.2
vtlwavenet2011,37,K50,50,0.940728604875304,path_LP,4.162059047227478e-05,1.041935015999822,296.0
vtlwavenet2011,38,K50,50,0.9404161369799615,path_LP,0.0009351971846459341,1.0272211907415985,297.9
vtlwavenet2011,39,K50,50,0.9389238349030825,path_LP,8.932937503364137e-05,1.0239528729224743,297.1
vtlwavenet2011,40,K50,50,0.9388948277316453,path_LP,0.0009800599259914193,1.018602022832372,300.4
vtlwavenet2011,41,K50,50,0.9376125637685968,path_LP,0.0002608123687541379,1.0156059857148678,299.0
vtlwavenet2011,42,K50,50,0.9385639229749734,path_LP,0.0006234041339386424,1.0127938460335064,300.4
vtlwavenet2011,43,K50,50,0.9365296662248992,path_LP,0.0006180994918722921,1.0093665225149002,383.6
vtlwavenet2011,44,K50,50,0.9368019914296679,path_LP,0.0006855870424982819,1.003356406243683,300.8
vtlwavenet2011,45,K50,50,0.9367445225691123,path_LP,0.0010320761730217088,0.996912069698891,300.5
vtlwavenet2011,46,K50,50,0.9358919280430292,path_LP,0.0009927494099390968,0.9867809048233014,302.7
vtlwavenet2011,47,K50,50,0.9352909203901952,path_LP,0.0012488263340473449,0.9766311772440694,298.9
vtlwavenet2011,48,K50,50,0.9354438501516568,path_LP,0.0005724739395555375,0.9639362742651473,301.6
vtlwavenet2011,49,K50,50,0.9339998797033138,path_LP,0.0007054327491911779,0.9516648029720539,300.5
vtlwavenet2011,50,K50,50,0.936252768943949,path_LP,0.0010393771176725774,0.9321493238446293,301.0
vtlwavenet2011,51,K50,50,0.932689758277568,path_LP,0.0009644918363994194,0.9259106264997576,320.7
vtlwavenet2011,52,K50,50,0.9326693248892339,path_LP,7.984730972021155e-05,0.9087366492789766,315.7
vtlwavenet2011,53,K50,50,0.9341670251358772,path_LP,0.0006865584576842579,0.8908854953182428,314.3
vtlwavenet2011,54,K50,50,0.9342626141925041,path_LP,0.00046925774684626105,0.870235510159978,309.3
vtlwavenet2011,55,K50,50,0.933753002508607,path_LP,0.0007615251273570873,0.8526908341255608,300.5
vtlwavenet2011,56,K50,50,0.9335791774496786,path_LP,0.0003846514646419989,0.8353002503176884,297.5
vtlwavenet2011,57,K50,50,0.9342555405196852,path_LP,0.0003890155507314208,0.8170330437151562,300.2
vtlwavenet2011,58,K50,50,0.9320593477861155,path_LP,0.0005425742447269405,0.799780290999198,311.4
vtlwavenet2011,59,KEEP,0,0.9320319803062599,path_LP,0.0,0.7790476130065551,0.5
vtlwavenet2011,60,KEEP,0,0.9320985516806275,path_LP,0.0,0.7597616930047356,0.5
vtlwavenet2011,61,KEEP,0,0.9317123111793155,path_LP,0.0,0.7412153846775749,0.5
vtlwavenet2011,62,KEEP,0,0.9291320127151018,path_LP,0.0,0.7251170541501978,0.5
vtlwavenet2011,63,KEEP,0,0.9276450145776479,path_LP,0.0,0.7131858519527718,0.5
vtlwavenet2011,64,KEEP,0,0.9286965195782534,path_LP,0.0,0.7037449769977423,0.5
vtlwavenet2011,65,KEEP,0,0.930024693182063,path_LP,0.0,0.6962823955060153,0.5
vtlwavenet2011,66,KEEP,0,0.9275036823174214,path_LP,0.0,0.6919156653341858,0.5
vtlwavenet2011,67,KEEP,0,0.927746208166546,path_LP,0.0,0.6831936475049166,0.5
vtlwavenet2011,68,KEEP,0,0.931545252262594,path_LP,0.0,0.6781929788960034,0.5
