tm_index,action,selected_K,PR,DB,decision_ms
672,K500,442,0.9999999919861372,0.14198951283291994,82.3
673,K200,200,0.9995014540954795,0.006392131058502227,65.8
674,K200,200,0.9992811616929776,0.017895800332914144,64.1
675,K200,200,0.9996276988182782,0.00047622838768670477,65.3
676,K200,200,0.9999171619073708,0.00111267181725941,126.7
677,K200,200,0.9999527468617025,0.0022276920440712873,65.4
678,K200,200,0.9999185083264289,0.003081497444915718,65.6
679,K200,200,0.9997204644680279,0.0015988366267052155,65.6
680,K200,200,0.9998555495853202,0.002470796402796454,63.2
681,K200,200,0.9997830325252326,0.000857036176985859,64.5
682,K200,200,0.9997390740235118,0.0010249938252055182,64.6
683,K200,200,0.9997797024414502,0.00244193337487917,62.3
684,K200,200,0.9997698850795391,0.0024449815750464247,62.8
685,K200,200,0.9998650425672432,0.001074095808756842,63.2
686,K200,200,0.9995993958621997,0.0014659610486393144,121.4
687,K200,200,0.9995466386417736,0.0008662707179974004,63.5
688,K200,200,0.9997535220252609,0.002804068774499,65.0
689,K200,200,0.9997382302463758,0.001412424539117146,62.6
690,K200,200,0.9998735340632219,0.002511795575555898,62.1
691,K200,200,0.9998812752244739,0.0014541926175739373,63.3
692,K200,200,0.9999524305927512,0.0011599007411328044,62.6
693,K200,200,0.9998162207751566,0.0017011681436552135,61.7
694,K200,200,0.9998814463880588,0.0027176492740652422,63.5
695,K200,200,0.9999087580295273,0.003250173122156514,117.0
696,K200,200,0.9999378398027469,0.001413223876372017,61.6
697,K200,200,0.9999486090654645,0.0022254882560522327,61.6
698,K200,200,0.9998475383168727,0.0019314512268693014,63.6
699,K200,200,0.9999653998082378,0.003912984029327877,61.1
700,K200,200,0.9999364325348936,0.002482791418649261,60.9
701,K200,200,0.9999614415673812,0.003596904833484894,60.3
702,K200,200,0.9998869829271064,0.00045102845985504615,60.5
703,K200,200,0.9999751411897997,0.002435165824946007,61.3
704,K200,200,0.9999674092491828,0.0020018918614504748,119.4
705,K200,200,0.9997823939203284,0.0032742788280239834,61.7
706,K200,200,0.9999128647019646,0.0022471969713268995,64.4
707,K200,200,0.9998687233501776,0.0035496563972026614,64.7
708,K200,200,0.9998095116438308,0.0026099905230266623,64.9
709,K200,200,0.9999326804161869,0.0016213459157812407,70.1
710,K200,200,0.999862371240633,0.002246911998515354,68.0
711,K200,200,0.9999085416418031,0.0042486523093968834,67.5
712,K200,200,0.9998852167596126,0.001964814357042424,66.5
713,K200,200,0.9999292191837728,0.005523928367146182,65.2
714,K200,200,0.9999309794846877,0.0035916402850201565,74.6
715,K200,200,0.9998475536301127,0.0008794488021498401,65.1
716,K200,200,0.999890826141754,0.0010047487168308672,117.6
717,K200,200,0.9999153865487396,0.00047073040801662644,62.5
718,K200,200,0.9998909911263725,0.001801570988501108,61.4
719,K200,200,0.9998392924834001,0.003824914224374035,62.3
720,K200,200,0.999847742129824,0.00035297235461981925,62.7
721,K200,200,0.9998904476507612,0.0014220710009808064,61.7
722,K200,200,0.9999249731477949,0.0015367598692640116,61.3
723,K200,200,0.9998748306468551,0.0020364729315516675,62.3
724,K200,200,0.9997741504521852,0.002363104896915113,61.1
725,K200,200,0.9999703360289073,0.00280802730452385,119.8
726,K200,200,0.9999671435640715,0.0021839303203133307,62.8
727,K200,200,0.9999576725345024,0.0012609347560547605,61.0
728,K200,200,0.9999628130354299,0.0015347620271665557,61.7
729,K200,200,0.9999629469006304,0.0014612021994617622,60.7
730,K200,200,0.9999712778747466,0.003215689169707042,59.8
731,K200,200,0.9999713543635826,0.003611796433737772,77.3
732,K200,200,0.999897526093332,0.0112128082590502,76.4
733,K200,200,0.9998174686906235,0.0023728088651111695,67.2
734,K200,200,0.9999351041858446,0.0008465745689430925,135.8
735,K200,200,0.9999284686964819,0.0015947577703445414,66.7
736,K200,200,0.9998766315110005,0.0005690259596421272,65.9
737,K200,200,0.9998502172378182,0.0018627149175851412,66.5
738,K200,200,0.9997913455917009,0.004339947371199217,63.9
739,K200,200,0.9998171543250275,0.0009537603433916751,64.8
740,K200,200,0.9997785849604298,0.0005629962922085204,76.5
741,K200,200,0.9998630436557163,0.001788034629013237,81.1
742,K200,200,0.9996774126495401,0.0019657424912387506,80.8
743,K200,200,0.9997878752810921,0.0016055396375655624,211.0
744,K200,200,0.9997133468884438,0.002837603978724401,65.6
745,K200,200,0.9997010951418073,0.0011448856631339403,64.2
746,K200,200,0.9996237688543151,0.002158255873202401,68.7
747,K200,200,0.9996390411989559,0.0011567429508466955,66.9
748,K200,200,0.9996788678977765,0.0037525731619440844,67.5
749,K200,200,0.9994169749994694,0.0011953808656753715,64.8
750,K200,200,0.999821837297912,0.0016108047313514826,63.7
751,K200,200,0.9997461558300893,0.002255425593690225,72.8
752,K200,200,0.9996891019788535,0.002667036113337203,129.6
753,K200,200,0.999594837750339,0.0007817580150687488,63.3
754,K200,200,0.9998801222889693,0.0011456230266016186,63.7
755,K200,200,0.9999287339642983,0.0019504588871630075,62.7
756,K200,200,0.9998881559804155,0.0022932757669840063,62.5
757,K200,200,0.9998671516949811,0.0010066361881944852,70.4
758,K200,200,0.9997859338586461,0.0004646339269466044,64.4
759,K200,200,0.9999122764994791,0.0009858326989665696,64.0
