topology,timestep,pathopt_mlu,status
germany50,0,10.69810166970565,Optimal
germany50,1,11.135516405728781,Optimal
germany50,2,10.403231615536523,Optimal
germany50,3,10.879612815088786,Optimal
germany50,4,10.1597970158291,Optimal
germany50,5,10.175427760417742,Optimal
germany50,6,10.121658598798602,Optimal
germany50,7,9.80617778726447,Optimal
germany50,8,9.758709796291441,Optimal
germany50,9,9.214080505233142,Optimal
germany50,10,9.212419731360209,Optimal
germany50,11,9.542536229942746,Optimal
germany50,12,6.258026515706025,Optimal
germany50,13,11.092647620126451,Optimal
germany50,14,9.169441722518606,Optimal
germany50,15,9.401069390200249,Optimal
germany50,16,9.032659916813918,Optimal
germany50,17,9.456230660485382,Optimal
germany50,18,8.927711657242707,Optimal
germany50,19,8.761694997006998,Optimal
germany50,20,8.882119777753179,Optimal
germany50,21,8.711848703171384,Optimal
germany50,22,8.346461199091213,Optimal
germany50,23,8.94562062811565,Optimal
germany50,24,9.335962168167047,Optimal
germany50,25,8.924896501674358,Optimal
germany50,26,9.027648539688562,Optimal
germany50,27,8.977458054653383,Optimal
germany50,28,9.25626067725553,Optimal
germany50,29,9.548433855240365,Optimal
germany50,30,8.90090908957582,Optimal
germany50,31,8.78902295024782,Optimal
germany50,32,8.32625611790145,Optimal
germany50,33,8.400593384829426,Optimal
germany50,34,8.249486173640982,Optimal
germany50,35,8.626903226118886,Optimal
germany50,36,8.763252336458212,Optimal
germany50,37,8.605428008604395,Optimal
germany50,38,8.686896886662637,Optimal
germany50,39,8.698580549784495,Optimal
germany50,40,8.655584999125406,Optimal
germany50,41,8.626215820321159,Optimal
germany50,42,8.338318333770445,Optimal
germany50,43,8.456980562065201,Optimal
germany50,44,8.693849432158917,Optimal
germany50,45,8.628449749675928,Optimal
germany50,46,8.142701933347237,Optimal
germany50,47,8.281245013930675,Optimal
germany50,48,7.946109867669385,Optimal
germany50,49,8.190404356075124,Optimal
germany50,50,8.469468094971216,Optimal
germany50,51,8.850370379177184,Optimal
germany50,52,7.895172409559018,Optimal
germany50,53,7.682456313370859,Optimal
germany50,54,7.496135005663018,Optimal
germany50,55,7.491943956166962,Optimal
germany50,56,7.1531178620738505,Optimal
germany50,57,7.28965334498771,Optimal
germany50,58,7.39059003930497,Optimal
germany50,59,7.2095166496787,Optimal
germany50,60,7.962641521306615,Optimal
germany50,61,7.585245846452745,Optimal
germany50,62,7.059976955583442,Optimal
germany50,63,7.442904355557859,Optimal
germany50,64,7.250428293685583,Optimal
germany50,65,7.360144190791656,Optimal
germany50,66,7.4235976515091355,Optimal
germany50,67,7.593697568193238,Optimal
germany50,68,7.239613331594957,Optimal
germany50,69,7.362384767855481,Optimal
germany50,70,6.971494987666665,Optimal
germany50,71,7.412232034869523,Optimal
germany50,72,7.444864493738716,Optimal
germany50,73,7.432086795476243,Optimal
germany50,74,7.552060208948751,Optimal
germany50,75,7.975109446940861,Optimal
germany50,76,7.305099691433497,Optimal
germany50,77,7.290201081377747,Optimal
germany50,78,7.473148895469421,Optimal
germany50,79,7.570060615440708,Optimal
germany50,80,7.433215956198912,Optimal
germany50,81,7.322579516762926,Optimal
germany50,82,7.627892240343501,Optimal
germany50,83,7.577404124984608,Optimal
germany50,84,8.154233578067764,Optimal
germany50,85,7.94559470204913,Optimal
germany50,86,8.49460085587489,Optimal
germany50,87,8.774260945869553,Optimal
germany50,88,8.711635403516267,Optimal
germany50,89,9.02257481212073,Optimal
germany50,90,9.393775804982942,Optimal
germany50,91,9.672090892789132,Optimal
germany50,92,9.794867646320844,Optimal
germany50,93,10.104233170895895,Optimal
germany50,94,10.594395812385846,Optimal
germany50,95,10.722044027181983,Optimal
germany50,96,10.75794795650072,Optimal
germany50,97,10.590429172155932,Optimal
germany50,98,10.762550095341435,Optimal
germany50,99,11.023288266520122,Optimal
germany50,100,12.706371739359387,Optimal
germany50,101,11.572249657707838,Optimal
germany50,102,11.26233102277329,Optimal
germany50,103,12.012298796851612,Optimal
germany50,104,11.577304126990203,Optimal
germany50,105,11.904114371993641,Optimal
germany50,106,12.644959510321865,Optimal
germany50,107,12.467350451892719,Optimal
germany50,108,12.662131481029835,Optimal
germany50,109,13.55143988684504,Optimal
germany50,110,13.674073663765743,Optimal
germany50,111,14.070831968474158,Optimal
germany50,112,12.856264862718508,Optimal
germany50,113,13.732815477759612,Optimal
germany50,114,14.728704689786545,Optimal
germany50,115,14.601863416541892,Optimal
germany50,116,14.152280725238963,Optimal
germany50,117,14.593584214114534,Optimal
germany50,118,14.331222081298261,Optimal
germany50,119,14.651566551901672,Optimal
germany50,120,14.6877150023298,Optimal
germany50,121,14.555544696358286,Optimal
germany50,122,14.706488943661686,Optimal
germany50,123,15.029565501426998,Optimal
germany50,124,15.20473840823252,Optimal
germany50,125,14.87013083920829,Optimal
germany50,126,14.690977308882115,Optimal
germany50,127,14.716538789198973,Optimal
germany50,128,14.617257923516448,Optimal
germany50,129,14.329867623531044,Optimal
germany50,130,14.567235683017884,Optimal
germany50,131,14.921369611020793,Optimal
germany50,132,14.822213626532179,Optimal
germany50,133,14.670123553425949,Optimal
germany50,134,14.003730102075503,Optimal
germany50,135,14.61749450150858,Optimal
germany50,136,14.13927057673575,Optimal
germany50,137,14.672793148275389,Optimal
germany50,138,14.504113762037013,Optimal
germany50,139,15.045205274265532,Optimal
germany50,140,14.613282223606806,Optimal
germany50,141,15.031592302258863,Optimal
germany50,142,14.811781470862496,Optimal
germany50,143,15.501533634997761,Optimal
germany50,144,15.49057045653791,Optimal
germany50,145,15.116786080395107,Optimal
germany50,146,15.208259310412908,Optimal
germany50,147,15.645652723229626,Optimal
germany50,148,15.400076447655746,Optimal
germany50,149,15.577188964700351,Optimal
germany50,150,15.500542626494283,Optimal
germany50,151,15.329586633922855,Optimal
germany50,152,15.65687762756061,Optimal
germany50,153,16.0683952901396,Optimal
germany50,154,16.722517655183065,Optimal
germany50,155,16.548673563744607,Optimal
germany50,156,16.17505406579003,Optimal
germany50,157,15.691124525148192,Optimal
germany50,158,15.56663094551769,Optimal
germany50,159,15.98366214114576,Optimal
germany50,160,15.329206278189124,Optimal
germany50,161,15.785369226003246,Optimal
germany50,162,15.811835202285883,Optimal
germany50,163,16.11492863883469,Optimal
germany50,164,15.464268360285502,Optimal
germany50,165,15.928892515506055,Optimal
germany50,166,15.880597320354003,Optimal
germany50,167,16.371818923205147,Optimal
germany50,168,15.548515286404674,Optimal
germany50,169,15.755144402145387,Optimal
germany50,170,15.873372347093431,Optimal
germany50,171,16.060176453029296,Optimal
germany50,172,16.391139354382204,Optimal
germany50,173,16.103953683847813,Optimal
germany50,174,15.825965804825023,Optimal
germany50,175,15.965618557608895,Optimal
germany50,176,15.673613283620949,Optimal
germany50,177,16.51441715824268,Optimal
germany50,178,15.764605200201933,Optimal
germany50,179,15.963011120888472,Optimal
germany50,180,15.600611159932345,Optimal
germany50,181,15.36496262627972,Optimal
germany50,182,15.560345646458904,Optimal
germany50,183,15.726902700253806,Optimal
germany50,184,15.758619295377875,Optimal
germany50,185,15.32557994651361,Optimal
germany50,186,16.00160257278795,Optimal
germany50,187,16.425690870264372,Optimal
germany50,188,15.434132124174004,Optimal
germany50,189,15.90563825079445,Optimal
germany50,190,14.976714251568783,Optimal
germany50,191,15.587154523229406,Optimal
germany50,192,16.478817396091483,Optimal
germany50,193,16.369346241805765,Optimal
germany50,194,15.276627452271356,Optimal
germany50,195,15.690990124864047,Optimal
germany50,196,15.149438593183007,Optimal
germany50,197,16.186982749039455,Optimal
germany50,198,15.57801052280702,Optimal
germany50,199,16.14503617422307,Optimal
germany50,200,16.28763190880054,Optimal
germany50,201,16.57092175614671,Optimal
germany50,202,16.045694649574582,Optimal
germany50,203,15.598353273139338,Optimal
germany50,204,15.330500585207485,Optimal
germany50,205,15.533017706792458,Optimal
germany50,206,15.003218614324577,Optimal
germany50,207,14.975389841709696,Optimal
germany50,208,14.680015211419962,Optimal
germany50,209,14.793802830380452,Optimal
germany50,210,14.187453732015276,Optimal
germany50,211,15.021595530213384,Optimal
germany50,212,13.660567707685555,Optimal
germany50,213,13.733986352803203,Optimal
germany50,214,14.836218252463746,Optimal
germany50,215,15.278344575186205,Optimal
germany50,216,14.044517031626313,Optimal
germany50,217,14.516517646235304,Optimal
germany50,218,14.707466353625941,Optimal
germany50,219,14.206698114001489,Optimal
germany50,220,13.69619026115688,Optimal
germany50,221,14.097471540766133,Optimal
germany50,222,14.60924030647875,Optimal
germany50,223,14.672199973149693,Optimal
germany50,224,14.372023239578269,Optimal
germany50,225,14.257286667096196,Optimal
germany50,226,14.214043456077349,Optimal
germany50,227,14.19253859003805,Optimal
germany50,228,13.92115588651141,Optimal
germany50,229,13.603174311465418,Optimal
germany50,230,13.507032143699515,Optimal
germany50,231,13.333983440315317,Optimal
germany50,232,13.908275145950046,Optimal
germany50,233,14.007899461152103,Optimal
germany50,234,14.528980270594733,Optimal
germany50,235,13.909133838679017,Optimal
germany50,236,13.659999906181842,Optimal
germany50,237,13.985650097878539,Optimal
germany50,238,13.755653950864144,Optimal
germany50,239,13.514183661966674,Optimal
germany50,240,13.880931300324303,Optimal
germany50,241,12.922257457106031,Optimal
germany50,242,13.483421594764527,Optimal
germany50,243,13.675066701092874,Optimal
germany50,244,12.921838523811312,Optimal
germany50,245,13.255498896037352,Optimal
germany50,246,13.174332567228712,Optimal
germany50,247,13.091544111499118,Optimal
germany50,248,12.82198542940714,Optimal
germany50,249,12.889992826212994,Optimal
germany50,250,13.008101693034408,Optimal
germany50,251,13.170585140328242,Optimal
germany50,252,12.911477049480164,Optimal
germany50,253,12.887400135833559,Optimal
germany50,254,12.840225310521054,Optimal
germany50,255,13.774228758915347,Optimal
germany50,256,13.656329162306708,Optimal
germany50,257,12.937082381340954,Optimal
germany50,258,13.240816248908416,Optimal
germany50,259,12.827392621315084,Optimal
germany50,260,12.193314402426768,Optimal
germany50,261,12.660483689518882,Optimal
germany50,262,12.29308617371281,Optimal
germany50,263,12.913769189906455,Optimal
germany50,264,12.877519772066446,Optimal
germany50,265,12.390959362328436,Optimal
germany50,266,11.740613424217011,Optimal
germany50,267,12.04888863038233,Optimal
germany50,268,11.274015306150256,Optimal
germany50,269,11.480788960943771,Optimal
germany50,270,11.343386262328568,Optimal
germany50,271,11.380142702365273,Optimal
germany50,272,10.95356037407619,Optimal
germany50,273,10.762677417861418,Optimal
germany50,274,10.92601141204069,Optimal
germany50,275,11.309764490939418,Optimal
germany50,276,11.039214990830821,Optimal
germany50,277,11.20172290174742,Optimal
germany50,278,10.960722902618757,Optimal
germany50,279,11.563613831298431,Optimal
germany50,280,11.00462057633359,Optimal
germany50,281,11.413848914134338,Optimal
germany50,282,10.961748861870044,Optimal
germany50,283,10.785142570728938,Optimal
germany50,284,10.277861781593492,Optimal
germany50,285,10.48071868265761,Optimal
germany50,286,10.396717164092843,Optimal
germany50,287,3.3324266037379857,Optimal
